Code,Party,Income level,GDP USD Mar 2025,Human Development Index 2022,Region Name,Sub-region Name,Least Developed Countries (LDC),Small Island Developing States (SIDS),OECD,Title,FileType,Language,Version,Status,SubmissionDate,EncodedAbsUrl,OriginalFilename,filename
PAN,Panama,High income,83318176900,0.820,Americas,Latin America and the Caribbean,0,0,0,Panama Second NDC,NDC,Spanish,3,Active,2024-06-13,https://unfccc.int/sites/default/files/NDC/2024-06/Segunda%20Contribuci%C3%B3n%20Determinada%20a%20Nivel%20Nacional_CDN2.pdf,Segunda Contribución Determinada a Nivel Nacional_CDN2.pdf,Panama.txt
PNG,Papua New Guinea,Lower middle income,30729242919,0.568,Oceania,Melanesia,0,1,0,Papua New Guinea Second NDC,NDC,English,2,Active,2020-12-16,https://unfccc.int/sites/default/files/NDC/2022-06/PNG%20Second%20NDC.pdf,PNG Second NDC.pdf,Papa_New_Guineau.txt
PRY,Paraguay,Upper middle income,42956263544,0.731,Americas,Latin America and the Caribbean,0,0,0,Paraguay First NDC (Updated submission),NDC,Spanish,2,Active,2021-07-16,https://unfccc.int/sites/default/files/NDC/2022-06/Actualizaci%C3%B3n-NDC%20VF%20PAG.%20WEB_MADES%20Mayo%202022.pdf,Actualización-NDC VF PAG. WEB_MADES Mayo 2022.pdf,Paraguay.txt
PER,Peru,Upper middle income,267603248655,0.762,Americas,Latin America and the Caribbean,0,0,0,Peru First NDC (Updated submission),NDC,Spanish,2,Active,2020-12-18,https://unfccc.int/sites/default/files/NDC/2022-06/Reporte%20de%20Actualizacio%CC%81n%20de%20las%20NDC%20del%20Peru%CC%81.pdf,Reporte de Actualización de las NDC del Perú.pdf,Peru.txt
PHL,Philippines,Lower middle income,437146372730,0.710,Asia,South-eastern Asia,0,0,0,Philippines First NDC,NDC,English,1,Active,2021-04-15,https://unfccc.int/sites/default/files/NDC/2022-06/Philippines%20-%20NDC.pdf,Philippines - NDC.pdf,Philippines.txt
POL,Poland,High income,809200697797,0.881,Europe,Eastern Europe,0,0,1,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf,Poland.txt
PRT,Portugal,High income,289114289664,0.874,Europe,Southern Europe,0,0,1,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf,Portugal.txt
QAT,Qatar,High income,213002809330,0.875,Asia,Western Asia,0,0,0,Qatar First NDC (Updated submission),Translation,English,2,Active,2021-08-24,https://unfccc.int/sites/default/files/NDC/2022-06/Qatar%20NDC.pdf,Qatar NDC.pdf,Qatar.txt
KOR,Republic of Korea,High income,1712792854202,0.929,Asia,Eastern Asia,0,0,1,Republic of Korea First NDC (Updated submission),NDC,English,3,Active,2021-12-23,https://unfccc.int/sites/default/files/NDC/2022-06/211223_The%20Republic%20of%20Korea%27s%20Enhanced%20Update%20of%20its%20First%20Nationally%20Determined%20Contribution_211227_editorial%20change.pdf,211223_The Republic of Korea's Enhanced Update of its First Nationally Determined Contribution_211227_editorial change.pdf,Republic_of_Korea.txt
MDA,Republic of Moldova,Upper middle income,16539436547,0.763,Europe,Eastern Europe,0,0,0,Republic of Moldova First NDC (Updated submission),NDC,English,2,Active,2020-03-04,https://unfccc.int/sites/default/files/NDC/2022-06/MD_Updated_NDC_final_version_EN.pdf,MD_Updated_NDC_final_version_EN.pdf,Moldova.txt
ROU,Romania,High income,350775856415,0.827,Europe,Eastern Europe,0,0,0,EU NDC 2023 update,NDC,English,3,Active,2023-10-19,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf,ES-2023-10-17 EU submission NDC update.pdf,Romania.txt
RUS,Russian Federation,High income,2021421476035,0.821,Europe,Eastern Europe,,,0,Russian Federation First NDC,Translation,English,1,Active,2020-11-25,https://unfccc.int/sites/default/files/NDC/2022-06/NDC_RF_eng.pdf,NDC_RF_eng.pdf,Russia.txt
RWA,Rwanda,Low income,14097768472,0.548,Africa,Sub-Saharan Africa,1,0,0,Rwanda First NDC (Updated submission),NDC,English,2,Active,2020-05-20,https://unfccc.int/sites/default/files/NDC/2022-06/Rwanda_Updated_NDC_May_2020.pdf,Rwanda_Updated_NDC_May_2020.pdf,Rwanda.txt
KNA,Saint Kitts and Nevis,High income,1055499778,0.838,Americas,Latin America and the Caribbean,0,1,0,Saint Kitts and Nevis First NDC (Updated submission),NDC,English,2,Active,2021-10-25,https://unfccc.int/sites/default/files/NDC/2022-06/St.%20Kitts%20and%20Nevis%20Revised%20NDC_Updated.pdf,St. Kitts and Nevis Revised NDC_Updated.pdf,Saint_Kitts_and_Nevis.txt
LCA,Saint Lucia,Upper middle income,2430148148,0.725,Americas,Latin America and the Caribbean,0,1,0,Saint Lucia Third NDC,NDC,English,,Active,2025-02-06,https://unfccc.int/sites/default/files/2025-02/Saint%20Lucias%20Third%20Nationally%20Determined%20Contribution.pdf,Saint Lucias Third Nationally Determined Contribution.pdf,Saint_Lucia.txt
VCT,Saint Vincent and the Grenadines,Upper middle income,1065962963,0.772,Americas,Latin America and the Caribbean,0,1,0,Saint Vincent and the Grenadines First NDC,NDC,English,1,Active,2016-06-29,https://unfccc.int/sites/default/files/NDC/2022-06/Saint%20Vincent%20and%20the%20Grenadines_NDC.pdf,Saint Vincent and the Grenadines_NDC.pdf,Saint_Vincent_Grenadines.txt
WSM,Samoa,Lower middle income,938189443.8,0.702,Oceania,Polynesia,0,1,0,Samoa Second NDC,NDC,English,2,Active,2021-07-30,https://unfccc.int/sites/default/files/NDC/2022-06/Samoa%27s%20Second%20NDC%20for%20UNFCCC%20Submission.pdf,Samoa's Second NDC for UNFCCC Submission.pdf,Samoa.txt
